group,family,size,direction,depth,materialization,mode,implementation,samples,completed,timeouts,failures,planned_answers,definitive_answers,unknown_answers,resource_answers,facts_min,facts_max,definitive_coverage,wall_ms_q25,wall_ms_median,wall_ms_q75,peak_rss_kib_q25,peak_rss_kib_median,peak_rss_kib_q75,load_ms_q25,load_ms_median,load_ms_q75,query_ms_q25,query_ms_median,query_ms_q75,certificate_ms_q25,certificate_ms_median,certificate_ms_q75,withdrawal_ms_q25,withdrawal_ms_median,withdrawal_ms_q75,reassertion_ms_q25,reassertion_ms_median,reassertion_ms_q75,reopen_ms_q25,reopen_ms_median,reopen_ms_q75,bytes_q25,bytes_median,bytes_q75,steps_q25,steps_median,steps_q75,validation_ms_q25,validation_ms_median,validation_ms_q75,serialization_ms_q25,serialization_ms_median,serialization_ms_q75
comparison,chain,32,forward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,32,32,1.0,4.966035499819554,5.3109719992789906,5.8080205008081975,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,100,both,10,True,verdict,clingo,15,15,0,0,30,30,0,0,93,100,1.0,4.661546000534145,4.979150999133708,5.42094100092072,7884.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,100,both,10,True,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,45.18777150042297,47.047288999237935,48.679891999199754,6436.0,6436.0,6564.0,40.858858,42.104403999999995,44.1734395,0.3347135,0.355774,0.3916325,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,100,both,10,True,verdict,souffle,15,15,0,0,30,30,0,0,93,100,1.0,4.37115999920934,4.662650997488527,5.162070998267154,5784.0,5784.0,5784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,1000,both,10,True,verdict,clingo,15,15,0,0,30,30,0,0,969,1014,1.0,7.168693000494386,7.608732001244789,7.968200501636602,8140.0,8140.0,8140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,1000,both,10,True,verdict,nibli,15,15,0,0,30,30,0,0,969,1014,1.0,3831.557575498664,3949.9244119979267,4056.501996999941,23134.0,23200.0,23304.0,3822.491218,3941.642882,4046.046217,1.9428985,2.000682,2.0489129999999998,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,1000,both,10,True,verdict,souffle,15,15,0,0,30,30,0,0,969,1014,1.0,4.762800999742467,5.284599999868078,5.59869499920751,5912.0,5912.0,5912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,10000,both,10,True,verdict,clingo,15,15,0,0,30,30,0,0,9899,10030,1.0,29.707204997976078,30.27464800106827,30.980034500316833,10382.0,10404.0,10420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,10000,both,10,True,verdict,nibli,15,0,15,0,30,0,0,0,9899,10030,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,policy,10000,both,10,True,verdict,souffle,15,15,0,0,30,30,0,0,9899,10030,1.0,7.827750499927788,8.14423900010297,8.547215000362485,6680.0,6680.0,6680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evidence,policy,100,both,10,True,certificate,nibli,15,15,0,0,30,30,0,0,93,100,1.0,49.14961750000657,51.408774001174606,56.50916199920175,7076.0,7204.0,7204.0,41.245158,43.476237,47.1964435,,,,3.1309574999999996,3.2543050000000004,3.600211,,,,,,,,,,104631.0,105191.0,105751.0,927.0,932.0,937.0,0.001535,0.00163,0.0019399999999999999,0.0720285,0.08712199999999999,0.0990735
evidence,policy,100,both,10,True,verdict,nibli,15,15,0,0,30,30,0,0,93,100,1.0,45.90166150046571,46.485120998113416,51.19234000085271,6436.0,6436.0,6564.0,41.6697355,42.239494,46.727697500000005,0.341464,0.345274,0.36160600000000004,,,,,,,,,,,,,,,,,,,,,,,,
evidence,policy,1000,both,10,True,certificate,nibli,15,15,0,0,30,30,0,0,969,1014,1.0,4033.592720999877,4102.202059000774,4158.30283249943,28056.0,28176.0,28236.0,3935.5445660000005,4004.7355820000002,4059.118304,,,,77.8643025,79.433249,82.5626615,,,,,,,,,,967001.0,971521.0,972651.0,8572.0,8612.0,8622.0,0.0170685,0.018751,0.022433500000000002,0.6225054999999999,0.7070619999999999,0.7269255000000001
evidence,policy,1000,both,10,True,verdict,nibli,15,15,0,0,30,30,0,0,969,1014,1.0,3817.87330950101,3851.6348140001355,3953.0464244980976,23126.0,23220.0,23288.0,3808.3093474999996,3842.1033209999996,3944.0242985,1.8836965,1.989874,2.102992,,,,,,,,,,,,,,,,,,,,,,,,
evidence,policy,10000,both,10,True,certificate,nibli,15,0,15,0,30,0,0,0,9899,10030,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evidence,policy,10000,both,10,True,verdict,nibli,15,0,15,0,30,0,0,0,9899,10030,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updates,policy,100,both,10,True,updates,nibli,15,15,0,0,480,480,0,0,94,101,1.0,1081.3189390009939,1108.9849999989383,1180.0688485000137,12232.0,12380.0,12576.0,351.429944,367.418787,381.029444,,,,64.429937,66.538426,70.96126950000001,7.448411,7.795677,9.027493,6.1378425000000005,6.269316,7.314123,598.212044,622.73695,648.000804,2020528.0,2031176.0,2041864.0,16932.0,17022.0,17112.0,0.029782,0.030376,0.0310175,1.2208585,1.279233,1.3334405
updates,policy,1000,both,10,True,updates,nibli,15,14,1,0,480,476,0,0,970,1015,0.9916666666666667,23585.621970499233,24704.56385450052,25346.557427001244,50548.0,50636.0,50965.0,7620.09983525,7927.836314,8183.90099925,,,,1550.79928,1606.0448945,1739.8468715,70.25524349999999,309.4152485,425.05954375,44.7546235,126.433628,189.16733299999999,13648.50110975,14021.209870499999,14814.085664,18414017.0,18500242.0,18521757.0,154542.0,155262.0,155442.0,0.3564,0.382201,0.43928525,11.0555355,12.0042805,13.50948725
